CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
36,2005,5,40,25,31,17,17,0.290323,9,1.352941,23,1.352941,23,36047003600,11209
36,2006,0,24,24,13,26,26,0.846154,11,-0.076923,-2,-0.076923,-2,36047003600,11209
36,2006,1,20,24,23,26,26,-0.130435,-3,-0.230769,-6,-0.230769,-6,36047003600,11209
36,2006,2,22,20,19,24,24,0.157895,3,-0.083333,-2,-0.083333,-2,36047003600,11209
36,2006,3,21,22,24,42,42,-0.125,-3,-0.5,-21,-0.5,-21,36047003600,11209
36,2006,4,27,21,25,33,33,0.08,2,-0.181818,-6,-0.181818,-6,36047003600,11209
36,2006,5,25,27,40,25,25,-0.375,-15,0,0,0,0,36047003600,11209
36,2007,0,21,21,24,22,22,-0.125,-3,-0.045455,-1,-0.045455,-1,36047003600,11209
36,2007,1,26,21,20,21,21,0.3,6,0.238095,5,0.238095,5,36047003600,11209
36,2007,2,18,26,22,23,23,-0.181818,-4,-0.217391,-5,-0.217391,-5,36047003600,11209
